Latitude	Longitude	Population	City	State
34.0738889	-117.3127778	52335	Colton	CA
34.0922222	-117.4341667	169160	Fontana	CA
33.7091667	-117.9527778	56133	Fountain Valley	CA
37.4283333	-121.9055556	62636	Milpitas	CA
33.4269444	-117.6111111	62272	San Clemente	CA
41.1669444	-73.2052778	139090	Bridgeport	CT
34.0230556	-84.3616667	77218	Roswell	GA
39.7683333	-86.1580556	773283	Indianapolis	IN
45.12	-93.2875	62528	Coon Rapids	MN
40.6686111	-74.1147222	59878	Bayonne	NJ
45.4983333	-122.4302778	98851	Gresham	OR
34.9247222	-81.0252778	59766	Rock Hill	SC
26.3013889	-98.1630556	60509	Edinburg	TX
32.8369444	-97.0816667	53221	Euless	TX
26.1944444	-98.1833333	60687	Pharr	TX
